Genotype,Date,Plant ,Slide,Image,SC length,,,,,Stage,good trace?,foci count,,comments,quality
hei10 +/-,2.8.19,22,1,3,48.1431,,,,,late,y,2,,,1
hei10 +/-,2.8.19,22,1,3,41.2791,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,3,33.6319,,,,,,y,3,,,1
hei10 +/-,2.8.19,22,1,3,48.0683,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,3,31.4781,,,,,,y,1,,noisy,0
hei10 +/-,2.8.19,22,1,5,35.7241,,,,,late,y,1,,,1
hei10 +/-,2.8.19,22,1,5,35.2321,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,5,48.6525,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,5,53.6611,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,5,39.454,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,6,50.0391,,,,,late,y,2,,,1
hei10 +/-,2.8.19,22,1,6,35.5992,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,6,38.4678,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,6,56.8026,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,6,42.7435,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,7,36.985,,,,,late,y,1,,,1
hei10 +/-,2.8.19,22,1,7,38.5605,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,7,57.9152,,,,,,y,2,,invading focus,0
hei10 +/-,2.8.19,22,1,7,48.0169,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,7,45.3596,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,9,33.2214,,,,,late,y,1,,,1
hei10 +/-,2.8.19,22,1,9,33.9998,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,9,48.1497,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,9,47.0745,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,9,35.0379,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,10,45.2304,,,,,late,n,2,,,0
hei10 +/-,2.8.19,22,1,10,54.858,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,10,38.4285,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,10,39.5015,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,10,61.3118,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,11,32.5454,,,,,late,y,1,,,1
hei10 +/-,2.8.19,22,1,11,34.2201,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,11,34.5182,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,11,45.4781,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,11,38.9053,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,12,41.3794,,,,,late,y,1,,,1
hei10 +/-,2.8.19,22,1,12,57.7573,,,,,,y,3,,,1
hei10 +/-,2.8.19,22,1,12,47.6933,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,12,39.1756,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,12,61.411,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,13,41.3457,,,,,late,y,1,,,1
hei10 +/-,2.8.19,22,1,13,34.4353,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,13,47.6218,,,,,,y,2,,noisy,0
hei10 +/-,2.8.19,22,1,13,51.8817,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,13,34.1041,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,14,51.9983,,,,,late,y,2,,,1
hei10 +/-,2.8.19,22,1,14,44.6243,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,14,36.5558,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,14,36.6847,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,14,46.3147,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,17,37.2947,,,,,mid,y,,,,
hei10 +/-,2.8.19,22,1,17,37.4866,,,,,,y,,,,
hei10 +/-,2.8.19,22,1,17,42.2612,,,,,,y,,,,
hei10 +/-,2.8.19,22,1,17,51.9289,,,,,,y,,,,
hei10 +/-,2.8.19,22,1,17,48.6079,,,,,,y,,,,
hei10 +/-,2.8.19,22,1,18,49.6243,,,,,early,y,,,,
hei10 +/-,2.8.19,22,1,18,56.5839,,,,,,y,,,,
hei10 +/-,2.8.19,22,1,18,41.3373,,,,,,y,,,,
hei10 +/-,2.8.19,22,1,18,64.7667,,,,,,y,,,,
hei10 +/-,2.8.19,22,1,18,43.252,,,,,,y,,,,
hei10 +/-,2.8.19,22,1,20,38.7324,,,,,mid,y,,,,
hei10 +/-,2.8.19,22,1,20,33.515,,,,,,y,,,,
hei10 +/-,2.8.19,22,1,20,28.861,,,,,,y,,,,
hei10 +/-,2.8.19,22,1,20,47.747,,,,,,y,,,,
hei10 +/-,2.8.19,22,1,20,49.8496,,,,,,y,,,,
hei10 +/-,2.8.19,22,1,23,39.1958,,,,,early,y,,,,
hei10 +/-,2.8.19,22,1,23,50.6914,,,,,,y,,,,
hei10 +/-,2.8.19,22,1,23,36.8031,,,,,,y,,,,
hei10 +/-,2.8.19,22,1,23,64.6673,,,,,,y,,,,
hei10 +/-,2.8.19,22,1,23,47.4127,,,,,,y,,,,
hei10 +/-,2.8.19,22,1,24,49.1751,,,,,late,y,3,,,1
hei10 +/-,2.8.19,22,1,24,60.0998,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,24,64.412,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,24,41.0987,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,24,42.7046,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,28,52.1033,,,,,late ,y,2,,,1
hei10 +/-,2.8.19,22,1,28,39.5053,,,,,,y,1,,,1
hei10 +/-,2.8.19,22,1,28,44.8508,,,,,,y,2,,noisy,0
hei10 +/-,2.8.19,22,1,28,58.4423,,,,,,y,2,,,1
hei10 +/-,2.8.19,22,1,28,36.081,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,1,1,79.1604,,,,,late,y,2,,,1
hei10 +/-,2.12.19,13,1,1,48.4487,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,1,1,50.5902,,,,,,y,1,,invading focus,0
hei10 +/-,2.12.19,13,1,1,70.7656,,,,,,n,3,,,0
hei10 +/-,2.12.19,13,1,1,68.2847,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,1,2.1,36.2449,,,,,late,y,1,,,0
hei10 +/-,2.12.19,13,1,2.1,44.9833,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,1,2.1,37.6161,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,1,2.1,34.1896,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,1,2.1,37.1619,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,1,2.2,52.1715,,,,,late,y,2,,,1
hei10 +/-,2.12.19,13,1,2.2,35.4375,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,1,2.2,33.8312,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,1,2.2,39.1666,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,1,2.2,48.619,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,1,3,51.3377,,,,,late/mid,y,3,,,1
hei10 +/-,2.12.19,13,1,3,61.0792,,,,,,y ,2,,noisy,0
hei10 +/-,2.12.19,13,1,3,41.3963,,,,,,y,2,,invading focus,0
hei10 +/-,2.12.19,13,1,3,42.7161,,,,,,n,1,,,0
hei10 +/-,2.12.19,13,1,3,67.3663,,,,,,y,3,,,1
hei10 +/-,2.12.19,13,1,4,45.1525,,,,,late,y,1,,,1
hei10 +/-,2.12.19,13,1,4,40.6403,,,,,,n,2,,,0
hei10 +/-,2.12.19,13,1,4,35.8356,,,,,,y,2,,invading focus,0
hei10 +/-,2.12.19,13,1,4,35.6176,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,1,4,48.0767,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,1,5,64.8619,,,,,late,y,2,,,1
hei10 +/-,2.12.19,13,1,5,58.4431,,,,,,y,3,,,1
hei10 +/-,2.12.19,13,1,5,49.1481,,,,,,n,2,,,0
hei10 +/-,2.12.19,13,1,5,37.1326,,,,,,y,2,,noisy,0
hei10 +/-,2.12.19,13,1,5,46.1314,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,1,6,58.8078,,,,,late,y,1,,,1
hei10 +/-,2.12.19,13,1,6,82.443,,,,,,n,3,,,0
hei10 +/-,2.12.19,13,1,6,60.7432,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,1,6,50.0904,,,,,,y,2,,invading focus,0
hei10 +/-,2.12.19,13,1,6,57.8098,,,,,,y,,,noisy,0
hei10 +/-,2.12.19,13,1,8,54.1059,,,,,late,y,1,,nice example,1
hei10 +/-,2.12.19,13,1,8,49.5835,,,,,,n,2,,,0
hei10 +/-,2.12.19,13,1,8,42.9007,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,1,8,41.867,,,,,,n,1,,,0
hei10 +/-,2.12.19,13,1,8,33.99,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,1,9,64.9442,,,,,late,y,3,,,1
hei10 +/-,2.12.19,13,1,9,72.6913,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,1,9,70.76,,,,,,y,2,,hairpin,0
hei10 +/-,2.12.19,13,1,9,43.6912,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,1,9,33.3518,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,1,11,45.0503,,,,,late,y,2,,,1
hei10 +/-,2.12.19,13,1,11,37.869,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,1,11,67.9995,,,,,,n,2,,,0
hei10 +/-,2.12.19,13,1,11,38.8059,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,1,11,38.542,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,1,12,54.5003,,,,,late,y,2,,,1
hei10 +/-,2.12.19,13,1,12,64.4833,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,1,12,55.4258,,,,,,y,3,,,1
hei10 +/-,2.12.19,13,1,12,44.7073,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,1,12,40.0701,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,1,13,44.4638,,,,,late,y,2,,,1
hei10 +/-,2.12.19,13,1,13,53.2507,,,,,,y ,2,,invading focus,0
hei10 +/-,2.12.19,13,1,13,50.0285,,,,,,y,3,,,1
hei10 +/-,2.12.19,13,1,13,38.2092,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,1,13,44.0595,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,1,14,42.2089,,,,,late,y,2,,,1
hei10 +/-,2.12.19,13,1,14,37.0604,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,1,14,47.5605,,,,,,y,4,,,1
hei10 +/-,2.12.19,13,1,14,35.9033,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,1,14,36.4096,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,1,15,73.0083,,,,,early,y,,,,
hei10 +/-,2.12.19,13,1,15,48.8683,,,,,,y,,,,
hei10 +/-,2.12.19,13,1,15,47.1724,,,,,,y,,,,
hei10 +/-,2.12.19,13,1,15,61.6783,,,,,,n,,,,
hei10 +/-,2.12.19,13,1,15,77.4834,,,,,,y,,,,
hei10 +/-,2.12.19,13,2,2,35.3401,,,,,late,y,1,,,1
hei10 +/-,2.12.19,13,2,2,41.3418,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,2,48.3992,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,2,2,41.675,,,,,,n,1,,data missing,0
hei10 +/-,2.12.19,13,2,2,53.8792,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,3,38.0785,,,,,late,y,1,,,1
hei10 +/-,2.12.19,13,2,3,47.6336,,,,,,n,1 or 2,,,0
hei10 +/-,2.12.19,13,2,3,52.8578,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,2,3,41.5098,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,2,3,58.1893,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,4,37.5971,,,,,late,y,1,,,1
hei10 +/-,2.12.19,13,2,4,36.813,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,2,4,40.2656,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,4,57.3434,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,4,51.8247,,,,,,y,4,,noisy,0
hei10 +/-,2.12.19,13,2,5,43.1484,,,,,late,y,1,,,1
hei10 +/-,2.12.19,13,2,5,34.9365,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,2,5,34.0241,,,,,,y,2,,noisy,1
hei10 +/-,2.12.19,13,2,5,51.0904,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,5,53.1605,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,6,46.912,,,,,late,y,2,,,1
hei10 +/-,2.12.19,13,2,6,40.1478,,,,,,y,1,,hairpin,1
hei10 +/-,2.12.19,13,2,6,54.1694,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,6,55.518,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,6,34.1842,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,7,48.0418,,,,,late,y,1,,,1
hei10 +/-,2.12.19,13,2,7,53.0148,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,2,7,39.9603,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,7,35.3572,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,2,7,40.8501,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,2,8,52.164,,,,,late,n,1,,,0
hei10 +/-,2.12.19,13,2,8,42.0713,,,,,,n,1,,data missing,0
hei10 +/-,2.12.19,13,2,8,38.7026,,,,,,n,1,,data missing,0
hei10 +/-,2.12.19,13,2,8,59.1906,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,8,67.2412,,,,,,n,1,,data missing,0
hei10 +/-,2.12.19,13,2,10,37.6938,,,,,late,y,2,,,1
hei10 +/-,2.12.19,13,2,10,31.8484,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,10,32.4061,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,2,10,45.8628,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,10,50.4625,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,11,42.1561,,,,,late,y,1,,good example!,1
hei10 +/-,2.12.19,13,2,11,55.9906,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,11,44.9715,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,11,32.5179,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,2,11,34.0463,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,2,13,38.9159,,,,,late,y,1,,,1
hei10 +/-,2.12.19,13,2,13,49.5149,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,13,45.2062,,,,,,n,2,,,0
hei10 +/-,2.12.19,13,2,13,55.5473,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,13,63.099,,,,,,y,3,,,1
hei10 +/-,2.12.19,13,2,15,55.19,,,,,late,y,1,,,1
hei10 +/-,2.12.19,13,2,15,42.2403,,,,,,n,1,,,0
hei10 +/-,2.12.19,13,2,15,58.6246,,,,,,y,2,,,1
hei10 +/-,2.12.19,13,2,15,40.9035,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,2,15,43.4073,,,,,,n,1,,,0
hei10 +/-,2.12.19,13,2,16,41.0509,,,,,late/mid,y,,,,
hei10 +/-,2.12.19,13,2,16,44.7066,,,,,,y,,,,
hei10 +/-,2.12.19,13,2,16,60.2345,,,,,,y,,,,
hei10 +/-,2.12.19,13,2,16,59.0484,,,,,,y,,,,
hei10 +/-,2.12.19,13,2,16,37.2355,,,,,,y,,,,
hei10 +/-,2.12.19,13,2,17,47.5743,,,,,late,y,2,,,1
hei10 +/-,2.12.19,13,2,17,60.4046,,,,,,n,3,,,0
hei10 +/-,2.12.19,13,2,17,41.3261,,,,,,y,1,,,1
hei10 +/-,2.12.19,13,2,17,40.6724,,,,,,n,2,,,0
hei10 +/-,2.12.19,13,2,17,45.819,,,,,,y,1,,,1
hei10 +/-,25.2.20,2,1,2,32.581,,,,,late/mid,y,,,,
hei10 +/-,25.2.20,2,1,2,33.1301,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,2,49.1939,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,2,47.8495,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,2,39.4975,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,3,40.426,,,,,late,y,2,,,1
hei10 +/-,25.2.20,2,1,3,60.7234,,,,,,y,2,,,1
hei10 +/-,25.2.20,2,1,3,35.9814,,,,,,y,1,,,1
hei10 +/-,25.2.20,2,1,3,47.5577,,,,,,y,1,,,1
hei10 +/-,25.2.20,2,1,3,54.4522,,,,,,y,2,,invading focus,0
hei10 +/-,25.2.20,2,1,4,65.9779,,,,,late,y,2,,,1
hei10 +/-,25.2.20,2,1,4,51.1368,,,,,,y,2,,,1
hei10 +/-,25.2.20,2,1,4,69.2851,,,,,,y,3,,,1
hei10 +/-,25.2.20,2,1,4,44.4335,,,,,,y,2,,invading focus,0
hei10 +/-,25.2.20,2,1,4,44.8704,,,,,,y,2,,,1
hei10 +/-,25.2.20,2,1,5,45.9564,,,,,late,n,2,,,0
hei10 +/-,25.2.20,2,1,5,41.2192,,,,,,y,1,,,1
hei10 +/-,25.2.20,2,1,5,51.1578,,,,,,n,1,,,0
hei10 +/-,25.2.20,2,1,5,29.5609,,,,,,y,1,,,1
hei10 +/-,25.2.20,2,1,5,45.5832,,,,,,y,2,,,1
hei10 +/-,25.2.20,2,1,7,63.7613,,,,,late,y,1,,,1
hei10 +/-,25.2.20,2,1,7,67.092,,,,,,y,2,,,1
hei10 +/-,25.2.20,2,1,7,43.7599,,,,,,y,1,,,1
hei10 +/-,25.2.20,2,1,7,47.3825,,,,,,n,1,,,0
hei10 +/-,25.2.20,2,1,7,52.2862,,,,,,y,2,,,1
hei10 +/-,25.2.20,2,1,8,68.024,,,,,late,y,1,,,1
hei10 +/-,25.2.20,2,1,8,39.8284,,,,,,y,1,,,1
hei10 +/-,25.2.20,2,1,8,44.2947,,,,,,y,1,,,1
hei10 +/-,25.2.20,2,1,8,64.1704,,,,,,y,1 or 2,,,1
hei10 +/-,25.2.20,2,1,8,60.208,,,,,,y,3,,,1
hei10 +/-,25.2.20,2,1,9,59.0744,,,,,late ,y,3,,,1
hei10 +/-,25.2.20,2,1,9,43.6616,,,,,,y,2,,,1
hei10 +/-,25.2.20,2,1,9,45.3107,,,,,,y,2,,,1
hei10 +/-,25.2.20,2,1,9,62.0465,,,,,,y,1,,,1
hei10 +/-,25.2.20,2,1,9,35.2477,,,,,,y,2,,,1
hei10 +/-,25.2.20,2,1,11,59.9213,,,,,mid,y,,,,
hei10 +/-,25.2.20,2,1,11,39.1838,,,,,,n,,,,
hei10 +/-,25.2.20,2,1,11,71.384,,,,,,n,,,,
hei10 +/-,25.2.20,2,1,11,44.0109,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,11,58.81,,,,,,n,,,,
hei10 +/-,25.2.20,2,1,12,38.058,,,,,late/mid,y,1,,,1
hei10 +/-,25.2.20,2,1,12,46.1317,,,,,,y,2,,noisy,0
hei10 +/-,25.2.20,2,1,12,33.0329,,,,,,y,1,,,1
hei10 +/-,25.2.20,2,1,12,54.4521,,,,,,y,2,,,1
hei10 +/-,25.2.20,2,1,12,35.6118,,,,,,y,2,,noisy,1
hei10 +/-,25.2.20,2,1,13,69.7466,,,,,mid,y,,,,
hei10 +/-,25.2.20,2,1,13,58.9892,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,13,55.1117,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,13,43.7125,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,13,55.7501,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,14,39.618,,,,,early,y,,,,
hei10 +/-,25.2.20,2,1,14,51.6145,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,14,45.4556,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,14,29.607,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,14,33.6115,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,15,48.5276,,,,,mid,y,,,,
hei10 +/-,25.2.20,2,1,15,85.3081,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,15,46.2856,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,15,65.0833,,,,,,n,,,,
hei10 +/-,25.2.20,2,1,15,53.6958,,,,,,n,,,,
hei10 +/-,25.2.20,2,1,16,32.5183,,,,,mid,y,,,,
hei10 +/-,25.2.20,2,1,16,46.2965,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,16,32.2761,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,16,52.1428,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,16,39.7024,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,17,51.6151,,,,,early,y,,,,
hei10 +/-,25.2.20,2,1,17,55.1676,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,17,33.5051,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,17,33.2288,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,17,39.7393,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,20,46.0606,,,,,mid,y,,,,
hei10 +/-,25.2.20,2,1,20,52.6259,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,20,47.9205,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,20,70.975,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,20,65.2657,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,21.1,45.2931,,,,,mid,y,,,,
hei10 +/-,25.2.20,2,1,21.1,44.2959,,,,,,n,,,,
hei10 +/-,25.2.20,2,1,21.1,41.8345,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,21.1,69.8274,,,,,,n,,,,
hei10 +/-,25.2.20,2,1,21.1,74.6455,,,,,,n,,,,
hei10 +/-,25.2.20,2,1,21.2,39.1898,,,,,mid,n,,,,
hei10 +/-,25.2.20,2,1,21.2,46.3303,,,,,,n,,,,
hei10 +/-,25.2.20,2,1,21.2,61.4842,,,,,,y,,,,
hei10 +/-,25.2.20,2,1,21.2,54.2118,,,,,,n,,,,
hei10 +/-,25.2.20,2,1,21.2,37.4852,,,,,,y,,,,
